Keyword;Position;Search Volume;Url
ugg slippers;9;246000;https://www.amazon.com/UGG-Womens-Coquette-Slipper/dp/B01MRV2PB9
womens slippers;2;74000;https://www.amazon.com/Womens-Slippers/b?ie=UTF8&node=679433011
slippers;1;74000;https://www.amazon.com/Womens-Slippers/b?ie=UTF8&node=679433011
mens slippers;1;60500;https://www.amazon.com/Mens-Slippers/b?ie=UTF8&node=679324011
mens slippers;2;60500;https://www.amazon.com/Best-Sellers-Mens-Slippers/zgbs/fashion/679324011
mens ugg slippers;7;60500;https://www.amazon.com/UGG-5775-Mens-Ascot-Slipper/dp/B01N2T0WRY
ugg slippers women;10;40500;https://www.amazon.com/UGG-Womens-Coquette-Slipper/dp/B01MRV2PB9
ugg slippers women;11;40500;https://www.amazon.com/Slippers-UGG-Shoes/s?rh=n%3A679433011%2Cp_89%3AUGG
gucci slippers;37;27100;https://www.amazon.com/LaRosa-Leather-Backless-Slipper-Slip-ONS/dp/B06XKDBQSB
ll bean slippers;32;27100;https://www.amazon.com/slp/L-L-Bean-Men-s-Slippers/pqvvp9reow8344z
